Unit ID	Timestamp	Device ID	Variable ID	Value
407	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1113.55
408	2019_11_11	WinRhizo_lab425	Total_root_length_scan	3332.19
409	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1248.78
410	2019_11_11	WinRhizo_lab425	Total_root_length_scan	2148.57
411	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1251.88
412	2019_11_11	WinRhizo_lab425	Total_root_length_scan	3170.54
413	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1981.03
414	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1100.55
415	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1478.29
416	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1843.13
417	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1195.40
418	2019_11_11	WinRhizo_lab425	Total_root_length_scan	1825.81
101	2019_11_11	Manual	Root_angle	69
102	2019_11_11	Manual	Root_angle	67
103	2019_11_11	Manual	Root_angle	128
104	2019_11_11	Manual	Root_angle	11
105	2019_11_11	Manual	Root_angle	82
106	2019_11_11	Manual	Root_angle	109
107	2019_11_11	Manual	Root_angle	130
108	2019_11_11	Manual	Root_angle	63
109	2019_11_11	Manual	Root_angle	69
110	2019_11_11	Manual	Root_angle	50
111	2019_11_11	Manual	Root_angle	57
112	2019_11_11	Manual	Root_angle	88
113	2019_11_11	Manual	Root_angle	105
114	2019_11_11	Manual	Root_angle	NA
115	2019_11_11	Manual	Root_angle	90
116	2019_11_11	Manual	Root_angle	107
117	2019_11_11	Manual	Root_angle	103
118	2019_11_11	Manual	Root_angle	NA
201	2019_11_11	Manual	Root_angle	57
202	2019_11_11	Manual	Root_angle	90
203	2019_11_11	Manual	Root_angle	107
204	2019_11_11	Manual	Root_angle	87
205	2019_11_11	Manual	Root_angle	NA
206	2019_11_11	Manual	Root_angle	100
207	2019_11_11	Manual	Root_angle	NA
208	2019_11_11	Manual	Root_angle	NA
209	2019_11_11	Manual	Root_angle	86
210	2019_11_11	Manual	Root_angle	NA
211	2019_11_11	Manual	Root_angle	NA
212	2019_11_11	Manual	Root_angle	58
213	2019_11_11	Manual	Root_angle	NA
214	2019_11_11	Manual	Root_angle	55
215	2019_11_11	Manual	Root_angle	80
216	2019_11_11	Manual	Root_angle	53
217	2019_11_11	Manual	Root_angle	NA
218	2019_11_11	Manual	Root_angle	NA
301	2019_11_11	Manual	Root_angle	83
302	2019_11_11	Manual	Root_angle	123
