Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
39	NA	2019-10-31	NA	16.8	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	3	2	FZJ
39	NA	2019-11-04	NA	30.8	4	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	3	2	FZJ
39	NA	2019-11-07	NA	42	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	3	2	FZJ
39	NA	2019-11-11	NA	50.5	5.2	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	3	2	FZJ
40	NA	2019-10-28	NA	9.5	2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	4	2	FZJ
40	NA	2019-10-31	NA	18	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	4	2	FZJ
40	NA	2019-11-04	NA	29.3	4	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	4	2	FZJ
40	NA	2019-11-07	NA	45.6	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	4	2	FZJ
40	NA	2019-11-11	NA	48.5	5.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	4	2	FZJ
41	NA	2019-10-28	NA	5.5	1	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	5	2	FZJ
41	NA	2019-10-31	NA	13	3	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	5	2	FZJ
41	NA	2019-11-04	NA	30.6	4	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	5	2	FZJ
41	NA	2019-11-07	NA	42	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	5	2	FZJ
41	NA	2019-11-11	NA	45.4	5.5	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	5	2	FZJ
