timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	irrigation	water_consumed
2020-09-14 10:21:32	2020-09-14	DIC09D11H05	EPPN4_H	Hybrid	16	4	5	c4r16	140	130
2020-09-14 10:21:56	2020-09-14	DIC09D11E05	EPPN1_H	Hybrid	16	5	5	c5r16	130	120
2020-09-14 10:23:49	2020-09-14	DIC09D11F05	EPPN2_H	Hybrid	16	8	5	c8r16	160	150
2020-09-14 10:24:26	2020-09-14	DIC09D11C05	EPPN3_L	Line	16	9	5	c9r16	155	145
2020-09-14 10:25:03	2020-09-14	DIC09D11I05	EPPN20_T	Line	16	10	5	c10r16	90	80
2020-09-14 10:25:40	2020-09-14	DIC09D11B05	EPPN2_L	Line	16	11	5	c11r16	115	105
2020-09-14 10:26:18	2020-09-14	DIC09D11G05	EPPN3_H	Hybrid	16	12	5	c12r16	145	135
2020-09-14 10:26:56	2020-09-14	DIC09D11I06	EPPN20_T	Line	16	13	6	c13r16	130	120
2020-09-14 10:29:27	2020-09-14	DIC09D11H06	EPPN4_H	Hybrid	16	17	6	c17r16	140	130
2020-09-14 10:30:27	2020-09-14	DIC09D11A06	EPPN1_L	Line	16	19	6	c19r16	140	130
2020-09-14 10:31:05	2020-09-14	DIC09D11D06	EPPN4_L	Line	16	20	6	c20r16	125	115
2020-09-14 10:31:28	2020-09-14	DIC09D11B06	EPPN2_L	Line	16	21	6	c21r16	145	135
2020-09-14 10:32:06	2020-09-14	DIC09D11F06	EPPN2_H	Hybrid	16	22	6	c22r16	125	115
2020-09-14 10:32:44	2020-09-14	DIC09D11G06	EPPN3_H	Hybrid	16	23	6	c23r16	135	125
2020-09-14 10:33:21	2020-09-14	DIC09D11E06	EPPN1_H	Hybrid	16	24	6	c24r16	155	140
2020-09-14 10:34:36	2020-09-14	DIC09D11C06	EPPN3_L	Line	16	26	6	c26r16	150	135
2020-09-14 10:55:25	2020-09-14	DIC09D11H03	EPPN4_H	Hybrid	17	1	3	c1r17	145	135
2020-09-14 10:55:41	2020-09-14	DIC09D11B03	EPPN2_L	Line	17	2	3	c2r17	130	120
2020-09-14 10:55:56	2020-09-14	DIC09D11D03	EPPN4_L	Line	17	3	3	c3r17	145	135
2020-09-14 10:57:11	2020-09-14	DIC09D11A03	EPPN1_L	Line	17	5	3	c5r17	170	160
2020-09-14 10:57:48	2020-09-14	DIC09D11F03	EPPN2_H	Hybrid	17	6	3	c6r17	150	140
2020-09-14 10:58:25	2020-09-14	DIC09D11G03	EPPN3_H	Hybrid	17	7	3	c7r17	155	145
2020-09-14 11:00:19	2020-09-14	DIC09D11E03	EPPN1_H	Hybrid	17	10	3	c10r17	135	125
2020-09-14 11:00:57	2020-09-14	DIC09D11C03	EPPN3_L	Line	17	11	3	c11r17	150	140
