Date and Time,Type:,Fixture ID:,Measurement:
27/06/2021 12.20.21,Height (mm)                   ,56,"402,00"
27/06/2021 12.18.27,Height (mm)                   ,47,"606,00"
27/06/2021 12.16.20,Height (mm)                   ,38,"390,00"
27/06/2021 12.14.15,Height (mm)                   ,29,"602,00"
27/06/2021 12.12.21,Height (mm)                   ,20,"339,00"
27/06/2021 12.10.04,Height (mm)                   ,11,"606,00"
27/06/2021 12.08.48,Height (mm)                   ,2,"519,00"
27/06/2021 12.05.39,Height (mm)                   ,111,"358,00"
27/06/2021 12.03.34,Height (mm)                   ,102,"557,00"
27/06/2021 12.01.30,Height (mm)                   ,93,"346,00"
27/06/2021 11.59.37,Height (mm)                   ,84,"484,00"
27/06/2021 11.57.42,Height (mm)                   ,75,"568,00"
27/06/2021 11.55.38,Height (mm)                   ,66,"607,00"
27/06/2021 11.53.32,Height (mm)                   ,57,"471,00"
27/06/2021 11.51.25,Height (mm)                   ,48,"606,00"
27/06/2021 11.49.20,Height (mm)                   ,39,"566,00"
27/06/2021 11.47.27,Height (mm)                   ,30,"541,00"
27/06/2021 11.45.20,Height (mm)                   ,21,"566,00"
27/06/2021 11.43.08,Height (mm)                   ,12,"566,00"
27/06/2021 11.41.49,Height (mm)                   ,3,"510,00"
27/06/2021 11.38.38,Height (mm)                   ,112,"407,00"
27/06/2021 11.36.46,Height (mm)                   ,103,"584,00"
27/06/2021 11.34.40,Height (mm)                   ,94,"536,00"
27/06/2021 11.32.33,Height (mm)                   ,85,"470,00"
27/06/2021 11.30.41,Height (mm)                   ,76,"577,00"
27/06/2021 11.28.36,Height (mm)                   ,67,"606,00"
27/06/2021 11.26.31,Height (mm)                   ,58,"499,00"
27/06/2021 11.24.38,Height (mm)                   ,49,"606,00"
27/06/2021 11.22.43,Height (mm)                   ,40,"595,00"
27/06/2021 11.20.38,Height (mm)                   ,31,"606,00"
27/06/2021 11.18.30,Height (mm)                   ,22,"479,00"
27/06/2021 11.16.12,Height (mm)                   ,13,"606,00"
27/06/2021 11.14.52,Height (mm)                   ,4,"392,00"
27/06/2021 11.11.48,Height (mm)                   ,113,"415,00"
27/06/2021 11.09.44,Height (mm)                   ,104,"510,00"
27/06/2021 11.07.38,Height (mm)                   ,95,"605,00"
27/06/2021 11.05.47,Height (mm)                   ,86,"352,00"
27/06/2021 11.03.41,Height (mm)                   ,77,"605,00"
27/06/2021 11.01.47,Height (mm)                   ,68,"419,00"
27/06/2021 10.59.42,Height (mm)                   ,59,"474,00"
27/06/2021 10.57.36,Height (mm)                   ,50,"604,00"
27/06/2021 10.55.31,Height (mm)                   ,41,"596,00"
27/06/2021 10.53.24,Height (mm)                   ,32,"605,00"
27/06/2021 10.51.19,Height (mm)                   ,23,"372,00"
27/06/2021 10.48.59,Height (mm)                   ,14,"605,00"
27/06/2021 10.47.39,Height (mm)                   ,5,"566,00"
27/06/2021 10.44.36,Height (mm)                   ,114,"403,00"
27/06/2021 10.42.46,Height (mm)                   ,105,"606,00"
27/06/2021 10.40.50,Height (mm)                   ,96,"568,00"
27/06/2021 10.38.55,Height (mm)                   ,87,"606,00"
27/06/2021 10.37.01,Height (mm)                   ,78,"607,00"
27/06/2021 10.34.55,Height (mm)                   ,69,"512,00"
27/06/2021 10.32.42,Height (mm)                   ,60,"595,00"
26/06/2021 14.31.55,Height (mm)                   ,51,"31,00"
26/06/2021 14.29.51,Height (mm)                   ,42,"506,00"
26/06/2021 14.27.45,Height (mm)                   ,33,"536,00"
26/06/2021 14.25.51,Height (mm)                   ,24,"484,00"
26/06/2021 14.23.31,Height (mm)                   ,15,"375,00"
26/06/2021 14.22.06,Height (mm)                   ,6,"442,00"
26/06/2021 14.19.09,Height (mm)                   ,115,"404,00"
26/06/2021 14.17.18,Height (mm)                   ,106,"600,00"
26/06/2021 14.15.12,Height (mm)                   ,97,"492,00"
26/06/2021 14.13.17,Height (mm)                   ,88,"568,00"
26/06/2021 14.11.13,Height (mm)                   ,79,"427,00"
26/06/2021 14.09.06,Height (mm)                   ,70,"464,00"
26/06/2021 14.07.01,Height (mm)                   ,61,"604,00"
26/06/2021 14.04.54,Height (mm)                   ,52,"424,00"
26/06/2021 14.02.50,Height (mm)                   ,43,"599,00"
26/06/2021 14.00.55,Height (mm)                   ,34,"540,00"
26/06/2021 13.59.03,Height (mm)                   ,25,"607,00"
26/06/2021 13.56.43,Height (mm)                   ,16,"505,00"
26/06/2021 13.55.16,Height (mm)                   ,7,"571,00"
26/06/2021 13.52.21,Height (mm)                   ,116,"607,00"
26/06/2021 13.50.16,Height (mm)                   ,107,"599,00"
26/06/2021 13.48.10,Height (mm)                   ,98,"522,00"
26/06/2021 13.46.05,Height (mm)                   ,89,"454,00"
26/06/2021 13.44.13,Height (mm)                   ,80,"539,00"
26/06/2021 13.42.18,Height (mm)                   ,71,"497,00"
26/06/2021 13.40.22,Height (mm)                   ,62,"530,00"
26/06/2021 13.38.17,Height (mm)                   ,53,"414,00"
26/06/2021 13.36.12,Height (mm)                   ,44,"319,00"
26/06/2021 13.34.05,Height (mm)                   ,35,"466,00"
26/06/2021 13.32.11,Height (mm)                   ,26,"606,00"
26/06/2021 13.29.52,Height (mm)                   ,17,"588,00"
26/06/2021 13.28.27,Height (mm)                   ,8,"573,00"
26/06/2021 13.25.29,Height (mm)                   ,117,"530,00"
26/06/2021 13.23.26,Height (mm)                   ,108,"607,00"
26/06/2021 13.21.33,Height (mm)                   ,99,"563,00"
26/06/2021 13.19.40,Height (mm)                   ,90,"606,00"
26/06/2021 13.17.46,Height (mm)                   ,81,"416,00"
26/06/2021 13.15.41,Height (mm)                   ,72,"362,00"
26/06/2021 13.13.45,Height (mm)                   ,63,"605,00"
26/06/2021 13.11.53,Height (mm)                   ,54,"603,00"
26/06/2021 13.09.58,Height (mm)                   ,45,"456,00"
26/06/2021 13.08.03,Height (mm)                   ,36,"567,00"
26/06/2021 13.06.09,Height (mm)                   ,27,"605,00"
26/06/2021 13.04.06,Height (mm)                   ,18,"606,00"
26/06/2021 13.03.13,Height (mm)                   ,9,"478,00"
26/06/2021 11.01.20,Height (mm)                   ,109,"588,00"
26/06/2021 10.59.17,Height (mm)                   ,100,"606,00"
26/06/2021 10.57.12,Height (mm)                   ,91,"436,00"
26/06/2021 10.55.17,Height (mm)                   ,82,"430,00"
26/06/2021 10.53.12,Height (mm)                   ,73,"601,00"
