image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02716	A	09/04/2021	vertical	38468	32136	32760	24908	21008	30525	19720	18202	11461	14954
ZM009-02716	A	16/04/2021	vertical	30923	34134	41330	35843	30228	52158	52407	48821	46984	72809
ZM009-02716	A	26/04/2021	vertical	26679	33208	45403	47953	36627	70344	71317	61576	74244	99103
ZM009-02716	B	19/03/2021	vertical	127	1491	1182	20	8	4	4	7	247	39
ZM009-02716	B	26/03/2021	vertical	2744	12814	8330	4301	2478	4097	4864	1514	1619	3751
ZM009-02716	B	02/04/2021	vertical	6804	38446	32431	27920	32719	33202	19666	9759	4988	1101
ZM009-02716	B	09/04/2021	vertical	9800	50694	55188	52938	53942	55118	37375	26420	21198	16835
ZM009-02716	B	16/04/2021	vertical	7662	51452	61564	66234	78775	78943	65956	51842	68905	57155
ZM009-02716	B	26/04/2021	vertical	6038	45803	66481	75339	86788	103063	82355	64411	91567	74347
ZM009-02716	C	19/03/2021	vertical	13	6	285	4	29	12	0	12	221	44
ZM009-02716	C	26/03/2021	vertical	3636	15613	7920	5215	5131	4018	3161	3886	2977	5480
ZM009-02716	C	02/04/2021	vertical	11670	39640	27734	38043	36064	42107	22162	14819	18168	9248
ZM009-02716	C	09/04/2021	vertical	12026	51239	44702	54989	48785	56232	35886	32478	33219	26192
