image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-02714	A	02/04/2021	lateral	10681	14873	12596	9325	9938	12383	6534	7818	5917	6397
ZM009-02714	A	09/04/2021	lateral	7957	12022	12952	13058	17324	23434	18684	18872	16643	10598
ZM009-02714	A	16/04/2021	lateral	5871	8231	11472	16670	22908	31508	31647	36447	29058	37007
ZM009-02714	A	26/04/2021	lateral	7668	9030	15115	18714	25714	34793	36429	42611	34287	39488
ZM009-02714	B	19/03/2021	lateral	64	1	413	193	12	0	3	27	67	106
ZM009-02714	B	26/03/2021	lateral	453	7579	8270	3976	1372	584	407	268	117	9578
ZM009-02714	B	02/04/2021	lateral	1325	9101	22693	15063	5735	1524	1798	1783	6764	5920
ZM009-02714	B	09/04/2021	lateral	2358	12701	27750	18317	10557	12467	16182	8947	17083	18727
ZM009-02714	B	16/04/2021	lateral	1814	10297	24762	20351	22014	22298	33067	16352	21334	32630
ZM009-02714	B	26/04/2021	lateral	2853	9809	30111	22917	27017	25418	36517	22173	26917	38910
ZM009-02714	C	19/03/2021	lateral	0	14	1	22	0	0	0	0	24	3
ZM009-02714	C	26/03/2021	lateral	116	1810	1375	1798	356	20	133	31	170	8076
ZM009-02714	C	02/04/2021	lateral	655	8894	15503	14195	7825	3022	3547	3540	2265	1792
ZM009-02714	C	09/04/2021	lateral	2160	14381	27459	26860	20711	22080	27442	29365	29706	29970
ZM009-02714	C	16/04/2021	lateral	1096	12973	23632	27300	24393	28585	34141	38352	36921	44536
ZM009-02714	C	26/04/2021	lateral	1492	9937	24621	30696	24173	30207	34990	41072	37128	51592
ZM009-02714	D	19/03/2021	lateral	75	143	191	161	0	0	0	0	18	2
ZM009-02714	D	26/03/2021	lateral	3309	6861	2967	4400	2032	496	250	245	234	10512
ZM009-02714	D	02/04/2021	lateral	5612	17569	12376	20423	20805	19335	5624	4958	2537	2063
ZM009-02714	D	09/04/2021	lateral	5978	24862	22935	31475	35664	36636	24430	26724	20707	11437
